content,sentiment
love app buy product amazon compare price home problem loading page great shop experience amazon app people need good update tablet device old slow loading app go disappointed,1
decent appbut save locker address reason start month ago continously select delivery location local locker time open app aside good app,1
deliver time quick fix wrong order,1
wow purchase multiple clothing item mom fit perfectly prime quick delivery great service,1
outstanding shopping experience unique style excellent price,1
suck lately web page app suck update slow glitch freeze watch videos kick u app fix shop holiday,-1
honestly take money sneak amazon prime free make money card im debt hitting account,-1
thanks try sign amazon prime ebt card phone able say sign amazon prime mobile device elderly help sign try call customer service get runaround tried live chat person try acknowledge question record phone screenshot live chat go social medium page,-1
hello say amazon great shopping spot look couple outfit check yvonne lot think look head toe love,1
ensure r receive free shipping u prime membershipi delete item cuz ship stupid lessens item ship cost try prime membership free shipping item buy amazon ripp dont pay penny prime membership,1
love amazon amazing thing highly suggest get amazon prime free fast shipping read book play game watch tv show movie amazon prime,1
slow best time crash want annoy safe assume current interation product upgrade previous product replace expect app june preferably best entire line ask heck develop teen dark web hacker thing thank amazon,-1
best shopping app work super smooth easy use love,1
yall start allow anybody change password permission go hell rescue account app id thank send email tell password hack allow hack im force speak alexa order ill cancel account doesnt understand word block shop talk speech impediment ada look,-1
buy kindle book understand reason everytime click website automatically open app want buy kindle book make hard buy kindle book nevermind turn support link app access website im guess late update,-1
everybody upgrade apps bad upgrade slows change hard order thing way thats work fine aggravate hate upgrade oh upgrade second send recommendation spamming inbox way stop,-1
amz easy shopping free shipping quick delivery easy return bezos sell change well change didnt need need change bulk edits list payment option use gift card use gc amz prm vids store crash close ive reopen reinstall app lot happen fix til ⭐ sorry,-1
great price exactly expect awhile tube come smash reason star instead,1
good app far recently able subscribe prime unsubscribed ago absolutely infuriate app send rabbit dead end useless information amazon prime fix app,-1
great costno point start car pay park need day,1
love shopping amazon super fast return v quivk easy product guarantee cld u want,1
love buying amazon sure furniture convenient great customer service,1
refuse offer refund replacement buy item son birthday go open severely damage box didnt sign damage past refund policy course didnt open item son unlike people buy thing advance amazon say rd party seller refuse budge item cheap leave pile trash completely bust ill file small claim suit,-1
error message display time open amazon app try buy show message error message detail mobile error message receive uhoh go wrong end device detail samsung galaxy g smgbds android version,-1
terrible app sudden decide spanish change language need english change,-1
love ease purchase transaction include return app thing prevents star rating im able view product video read review usually kick app,1
convenient tho point fail change address customer service til cancel order need bad good overall experience satisfy,1
work randomly decide speak spanish reset language idea hard time figure change pain,-1
absolutely love app delivery get good thanks,1
nice app nice infact im app model kit hobby thank amazon employee,1
like amazonin shopping betterto hand look item,1
love shopping amazon fresh order correct deliveries hour day mobility issue order amazon convenient great work,1
buy book app kindle browser phone buy redirect app backwards well billionaire,-1
app simple use easy open click order icon main page order arrive app update page thing sign want shopping force page suggestion order dont like update star like break dont fix,-1
good app like time order item rd party seller amazon say order arrive date deliver say arrive date estimate delivery date say arrive today pm week day say order run late say parcel maybe lose pass expect date item browser,1
love amazon shop buy lot stuff easy use price fairly decent time,1
convenient best shop return procedure pretty painless,1
use amazon pretty filter amazon prime shipment late return process easy free shipping free return long youre prime member,1
work fine fast access enjoy ease app,1
ive gotten email say havent receive item return go charge long process call talk tell account show receive im leave wonder whats happen return closely need watch account false charge,1
ive amazon prime customer year dont issue software customer service return item simple issue lie prime deliver item hrs wait day top feel prime isnt work entirely exception free shipping quick turn come expect amazon facilitates shop online spending money way easy lol,1
system charge call explain impossible perfect pay error bye amazon,-1
usually reliable challenge depth feature difficult,1
app run smoothly lags give different item ask like app,1
bad app incredibly difficult navigate theyve attempt load feature provide amazon app account page insane basic service glitch fail load zoomable image phone youre lucky picture show click zoom thats youll forevermore list money decent app maybe shop like store apps,-1
like idea order ship fast return require simple,1
dont hesitate recommend amazon need excellent quality priceand delivery,1
love app update today mess buy kindle book app anymore stupid idea bring bezos know update star,-1
want change delivery date good luck work bundle order amazon way way great app want need control delivery alternative hard believe know delivery service get bad well estimate time delivery keep change bit awkward want plan,-1
easy use pair alexa ad overall good,1
ok originally leave star review hop tech team start hash solution problem multiple time ive cancel order change special instruction delivery edit order place instruction case unforeseeable come functional app,-1
amazon shop convenient time ship generally quick delivery date get move order place adjustment later delivery,1
heard go able buy amazon app new google play store policy affect kindle book amazon videos dumb google get bad apple,-1
useful rate delivery driver delivery individual package deliver example numerous package automatically deliver month particular day impractical time consume leave individual rating,-1
love shop amazon bcoz know good quality product fast delivery shopping amazon year excellent,1
late upgrade horrible logout end log kindle losing download book daily hate prefer revert app prior upgrade course option,-1
block ad app throw uhoh go wrong end page render completely useless despite fact load fine error message appear issue,-1
love amazon year develop problem delivery time get slow slow second good product disappear try reorder,1
update early app go downhill remove shortcut icon doesnt apps search longer user friendly,-1
satisfied product order delivered quickly safely,1
app nasty bug doesnt properly revise payment page order get canceled open revise payment page bug month support say knew issue wth,-1
fit bit connection complication love amazon resent update kick fitbit alexa try reconnect alexa fitbit app say wrong amazon shopping app update app try obviously update apps fix like amazon alexa fitbit helpful,1
love amazon im look im prime member stay word fastprime ship driver careful package im happy loyal customer thank amazon team,1
love amazon website easy use there variety different thing buy thing glitchy,1
convenient sure set yur amazon smile charity update portion purchase charity select tour order doesnt amazon smile set need complete refreshed,1
package say arrive half time get deliver wrong mail room detail instruction delivery check twice half time location,-1
amazon shop easy cause use bad judgment making purchase time make easy correct mistake free return love shopping amazon,1
love convenient service allow time familys chase bargain store store amazon,1
purchase movie app anymore app relevant bookmark amazon browser terrible,-1
prefer old version literally buy £ £ £ gift card yesterday want use today say card redeem piss money buy customer service,-1
easy breezy way shop amazon check status order downloadscreen capture label return item amazon,1
late update huge dissapointment app incredibly slow load havent see slow internet explorer previous version account dashboard easy access like go maze access try track parcel idea deliver think youve get well chance catch g network fly plane upgrade total fail,-1
shop app im intend buy amazon brilliant search engine typically find correct gizmo im look rating current pricing help decide worth purchase love,1
work great belive fast package come order day come door stuff take like day good download app,1
star simply thr horrible retune option require ups store scan qr code print label ups store hub call inside store ship pre package pre label item close store min drive imagine difficult doesnt car contact customer service send thing,-1
price best look prime love light get bedroom,1
good problem app click basket keep pull advertises access basket fix,1
enjoy shop amazon app good choice good price excellent detail dispatch track delivery past purchase,1
love amazon online shop amazon app easy use want checkout easy highly recommend app shop online youll youre look,1
start deliver package town talk different people fix head spin level stupidity place company,-1
super easy navigate understand ive get use strong discipline break absolutely love app service,1
run smoothly us battery background data amazon bring old app change dont want alexa simple app,-1
delivery late time amazon need day delivery,-1
think funny alot old people dont know touchscreen work complain easy tap blame app,1
leah jenkins good reliable personal friend turn amazon website hooked pandemic sell large outlet true majority employ know occasionally human error good shipment send dont discourage mistake happen time time get well thanksjames h shurley aka jimi,1
subscription tell cancel subscription app try online phone cancel take straight app,-1
let start say love app suck buy multiple item amazon gift card review apparently valid method buy product account set thing hold dont creditdebit card organize thing cartwishlists like easily amazon team need start filter product bit discontinue sketchy one star,-1
alexa notification bar clear obnoxious permanent notification notification bar terrible app design fact apps terrible doesnt surprise know clear alexa notification clear uninstalling stupid app,-1
convolute difficult use icon ugly wish switch,-1
good round quality prime delivery make easy item want,1
love addictive maybe healthy serve purpose time house ️ love wait delivery truck thats sad,1
love app easy app use functionality fantastic recommend prime account item dont long ship,1
easy use great service lot shop item available easy fine need place,1
good easy need affordable time lazy road harder amazon thank,1
easy look delivery good ive order lot year emergency arrive specify time,1
shop app love accessible item prime membership delivery fast convenient save year worth membership fee excellent customer service make feel confident purchase,1
say error occur wont work order apparently send turn work get supper late order,-1
previous app intuitive great use new version horrible ebay well app,-1
order time item arrive quickly time safety shoe delay contact amazon refund money shoe arrive pay delay electronic device clothes fine fast arrive,1
write review say theres character bs try multiple time wont let guess bug like brandon im equally disappointed,-1
overall awesome wishthere faster way add item list tho like button heart instead click indivudual item order add list wish subtotal item list wish choose cover image list,1
absurdly improfesionalnone existent customer support buy locally review fake well luck buying quality literal black market buyer beware recommend get screw,-1
good luck buy amazon recently buy new electric chain saw break time,1
love variety product available amazon matter need animal rescue amazon deliver right save lot time,1
love alexa icon removable accidently select scroll right hand,1
im prime free month wholefoods delivery longer free tell good reason pay year prime btw stop prime benefit time continuous shopper food necessity,-1
love think item find amazon time cheap,1
im tire app order worth thing yesterday suspend account stole money rip ship im piss update havent get money package tell get account log wont reply email,-1
great experience dont shopping order go wrongi return money go ac,1
okay different phone wont let login password notify old phone instead new phone,1
refunded item long refund reorder item wait wait day refund take second money thier like auto correct wrong address triple check,-1
love amazon app store password securely dont sign app work perfect occasionally doesnt stuck im try add list recommend anybody thing dont like use talk text,1
live hawaii amazon shopping app make easy family obtain item island delivery day give geographic location pretty fast subscription alot regularly home item thats make lifestyle convenient convenience appreciate dont ability stop time amazon great fit family,1
issue amazon app able order need able need app easy use go,1
chat feature app doesnt display text hard chat,1
wont allow pharmacy screenshots invoice download hsa search bad select custom dollar range filter try im review product offer pay buyer star review amazon say thats rule trust review amazon doesnt care long profit unethical,-1
doesnt app shop miss alot like husband doesnt like phone online prefer love love amazon app best experience notification order deliver chat rectify problem incredible customer service,1
great app time problem work great think update clear problem,1
love sum amazon app easy money save gas huge need fingertip click away,1
poor service prime membership fast day delivery prime money make stategy amazon take prime take day deliver prime product customer service say happen special case time happen take money prime play emotion time,-1
im unable switch account android app desktop url frustrate attempt track package phone,-1
great app time order wont update get day show,-1
fast efficient app shop slow hang constantly crash spend time wait load actually shop buy save trouble shop browser faster,-1
terrible customer service stuff deliver wrong location amazon little help communication,-1
problem site order phone case charge get iw wrong case mind second time buying case buy choice contact say return place time say send right case second case wrong case nut sit class useless returnable mail,1
love amazon prime worth price amazon make shop easy order quickly problem order easy contact refund necessary,1
search particular item appear stuff u need annoy guy need class ebay search specific item bmw car guy show stuff car fit car,-1
like app well easy use make return feel like new app well amazon make sale make easy buy need,-1
app need undone slow unresponsive product option dont load product pic horrible update fix,-1
amazon easy use price r good good return exchange package come time make life easy methanks amazon,1
hi amazon thankful customer support offering prime student big help juggling single parent time job time student appreciate thanks,1
good deal door updates break everytime easy way seller store mobile communication seller easier,1
easy fast reliable refund easy long honest,1
amazon love amazon rate star possible recomend love online shop feel like great app people dont like online shop art suplys gardening tool kid toy game set,1
get deliver damage item try leave negative feedback twice review show product review amazon play dirty trick choose good review product get bad ebay,-1
love easy order return process bad experience plus year,1
late update frustrating unable buy rent movie prime video say amazon app actually buyrent movie amazon app doesnt place actually buyrent movie rocky say available isnt actually purchase prime video extra step access purchase page load frustrating poor design,-1
stop delivery service deliver package dont app reason thats didnt use different website specifically fast reliable shipping fix,-1
update problem get go wrong screen click unstalled reinstall,-1
wow think bug glitch app bad february apparently thing havent improve call update app super slow give issue load page apparently amazon doesnt care customer money theyre lose guess ill stick ebay walmart ridiculous dont issue apps fix hard month ton complaint,-1
keep say oops go wrong end home page uninstalled reinstall multiple time get bad well,-1
easy use convenient far day free shipping lose item return refund hassle case anytime ive issue purchase straighten right away amazon video allow family watch good movie show amazon kindle offer free ebooks,1
thing love app filter order filter pending delivery order list help large order,1
ship timeframe change purchase buy item say deliver today aa tomorrow pm isnt time happen frustrating ordered toilet paper prime meet minimun dollar order timeframe shipment time new app version slow load doesnt respond,-1
love app dont car shopping amazon way dont bug store,1
amazon price arent well usually good hard item,1
use amazon work best deal offer save money time shop hateand bulk buy dont carry heavy bagsand queue family load shop scream kid great unwashed coughing lung,1
amazon im rating ⭐⭐⭐ purchase item expensive get total opposite cheap suppose wasnt amazon product seller amazon purchase amazon product wonderful ive issue ⭐⭐⭐⭐⭐,1
im inlove amazonthey fail ive issue im go continue loyal customer,1
hate new app design slower completely change app layout,-1
dont follow delivery instruction multiple delivery destroy mark deliver delivered address leave street trash trash day thrown dog expensive get deliver amazon refund return money bad overall customer service,-1
im hard time order stuff get deliver hopefully problem get resolve soon,1
love app think think buy app lot time ill receive item day control amazon account amazon service use alexa help browse item track purchase leave picture item place deliver app need quick purchase shopping list app,1
customer year love order husband personal wish list special occasion come wrong wrong gift,1
amazon account hack time need delete accountbut email matter anythingand account order item onlinebut return deliver diff itemthey give refund item onlybut pay ship fee include refund,-1
love appwhen use compare item easy use best apps,1
amazon check app slow glitch dont know im problem open app take wifi go g mobile data whats use app wifi disappears,-1
pre update speed set bar post update speed drive min store purchase frustrate wait reload page sub par amazon app,-1
satisfied amazon order seller sell product amazon dont buy seller,1
app show dog trick thinking lessen frustration,-1
absolutely love variety product available price ease order phenomenal app daily feature,1
stupid app keep hold package hostage app keep forget connect hub box customer service advice ill refund dont pick package like want come look box receiving pay,-1
think wasvjust read review problem update app keep freeze constantly error go wrong app overall slow directs home page ive lose smile option support charity whereif uninstall update run perfectly frustrate,-1
week ago app work great work great search place order view order screen load show picture dog say uhoh go wrong home page try ask help chat tell log log hah theres way log help youve resolve problem,-1
get sick tire amazon constantly change user interface app single time hunt designer hide manage subscription menu change sake change cause harm good time interface change dont positives client relearn location menu seriously amazon game value amazon try bring,-1
disign work perfectly product payment bad co connect work perfectly like card purchase account allow payment happend co card connect use amazon account,-1
easy provide convenience variety option youre look,1
past order fail load wrong amazon end get tire,-1
love amazon order correct time good work,1
best way thing know want look time amazon,1
love experience shopping amazon need wide selection product price suit anyones pocket deliver door gift send direct,1
frustrate live stream pop home screen app pointless easy accidentally select youre scroll super annoying use app start use web version experience mobile go downhill,-1
rarely problem app responsive clean thank amazon great app great service,1
app month get bad load constantly crash app fine dont need update new layout aint break dont fix,-1
new update crash consistently search product try look order fix asap,-1
order review option past purchase break month time oops go wrong page annoy fix make usable,1
amazon best idea prime convenient cheap thank hard work delivery driver warehouse worker appreciate,1
amazon continue well well day delivery ability choose prefer delivery time amazonamazing,1
search option filter limited search specifically look poor usability app,-1
pay amazon prime benefit list tell customer chat support instead solve problem bad speak agent chat explain issue instead cancel product idiot cancel order stupid amazon show delivery time day order go delivery time change false advertisement promise sale ridiculous seriously contemplate cancel membership,-1
account get charge twice service love amazon product deliver wishlists basically think price usually pretty fair ship get well good loveprimeallthetime,1
dont bother order grocery bottle water gon na bring u item order separately multiple time day multiple day row amazon uae horrible organize compare country,-1
subscription cat food discontinue continue send pay cat eat make sick,1
order amazon app easy window shopping app fun like,1
annoy floaty button alexa app amazon nag try people use alexa probably steal personal data way dont like talk phone prefer tap stop try people use people want use fine obnoxious button line rest interface,-1
love able heavy item ship directly door dont lug heavy item car house free shipping far best perk amazon prime,1
fivestar review amazon product appreciate amazon endorse product problem nonendorsed seller stand amazon return policy quality integrity sell item misrepresent genuine,1
thecirens ive purchased major issue clearly verification seller hose kink byrsts contact seller ceiling retractable fan stop work foot replace contact seller purchase son donnells account purchase disappoint app,-1
easy access website easy follow able want able purchase issue,1
hard navigate fresh grocery get amazon grocery,1
love shopping amazon selection product outstanding problem highly recommend site shopping need want thanks amazon staff great job,1
easy shopping amazon order help hrs customer service customer review video return stand sell,1
dont know amazon try package deliver time time deliver bad pinch salt youll great place need,1
love amazon app awful app load unwanted recommendation aka advertise sort order history doesnt allow user preference dumb apps push notification shipment track excellent amazon customer start app star outside app email notification ship give detail require login dumber dumb user friendly serf amazon user,-1
app work great app keep change spanish online help state issue browser setting ive confirm multiple time setting set english updated amazon setting multiple time set english,1
love app wish easy contact seller prior purchase item return misunderstanding item describe item sent love prime day delivery day item convenient thank,-1
idems worth price pay themsome notbut amazon great company buy thanks great evening,1
easy app use wish shipping faster product understand shop sell amazon amazon ship quickly gripe lol application easy use thank,1
app let track activity amazon instant update delivery package move like,1
love shopping amazon cheap price store fair come problem amazon great,1
easy use easy save item later great place great deal,1
lately app keep encounter error screen simply say uh oh go wrong,1
multiple occasion app update break amazon hub locker functionality prevent picking package call phone support confirm bug late software update provide workaround involved reconfiguring bluetoothnfc app permission happen time phone support tell reboot phone uninstallreinstall app pretty inconvenient time pick package pixel run android,-1
hundred dollar price free shipping add price item trick believe free shipping amazon overprice joke,-1
need app easy use brilliant track order manage account,1
absolutely love amazon disabled app shop easy stressful easy navigate daily treasure truck allow save money there amazon warehouse close day day ship customer service courteous point happier,1
love amazon shopping convenient price good store price higher accord vendor business shop amazon truthful love amazon,1
ive member year problem customer service helpful prompt solve problem thanks amazon,1
usps delivery bad idea amazon problem recently include drop literally package porch deliver package report deliver delivering package day promise date amazon fail deliver package report delivered take picture mailbox proof delivery receive package day later pay prime delivery,-1
love shopping amazon update app day yesterday keep tell try shop show item irritate fix issue asap im pay service month need fix,1
love order half time get patience ship dont order amazon excellent price definitely worth wait,1
experience absolutely perfect think best company year deal thank,1
doesnt state item thing china havent heard truth id pay free country,-1
dog lover time convenient alternative amazon website past month site picture dog breed look sad accompany message say app work amazon home happens day month today app update prepare frustrate,-1
account long access number step verification password work tried set different account number different carrier message theres account set numberby email address completely blank customer service page,-1
great way easy convenient pleasure use give life meaning,1
great app need fast delivery service review description product help lot shopping,1
nice read app reason switch foreign language order amazon dont speak language app,-1
ive rarely issue app year ive added update hopefully,1
app work expect there way view order history app strange annoying,-1
nice amazon right fingertip simple effective app,1
app mess update get sorry page error click return home open profile,-1
sure let introduce new function amazon maintain fix basic function purchase digital music app search digital music absolutely cancerous new update purchase mp amazon,-1
delivery note remove streamline app save time driver dont read alexa sux track doesnt update vehicle info convenient find part review troll slow refreshes make lose place,-1
star purchase amazon star event today reference amazon policy concern review amazon let post negative comment regard vender kick issue pay expedite ship past purchase come date list check case come late buy point able tell poor vender performance,-1
confuse ui slow happen dont update want experience confuse,-1
slow previous version unnecessarily move cart hamburger menu screen apparent reason project manager learn whats good quit change thing sake change like app recent version reason shop,-1
confuse different card difficult return live rural town like maybe prepay send thing dont away dont life appreciate amazon like thing family grateful god,1
app helpful convenience shopping quick delivery easy return experience issue glitch resistance scroll wish list hope get fix started month ago thats notice overall amazing app,-1
app work fine month log wife share account convenient sign automatically confirm get,-1
fault amazon ive prime member year get benefit year small fee item reasonably price free day delivery unbeatable,1
great customer service low price time remove star app lack dark mode option,1
late update annoy alexa bubble appear right middle screen browse product want product obnoxious blue bubble use,-1
